file_name,type,category,duration_sec,description,ai_prompt
success.mp3,sound_effect,system,0.7,"Success sound, positive and affirming","Create a positive, affirming sound for general success. Use a short sequence of ascending notes on traditional Chinese instruments like a small bell or guzheng. The sound should be clearly positive but brief and not overly dramatic."
notification.mp3,sound_effect,system,0.8,"Notification sound, attention-grabbing but not intrusive","Create an attention-grabbing but non-intrusive notification sound. Use traditional Chinese instruments to create a distinctive sequence of 2-3 notes. The sound should be noticeable without being startling or annoying."
achievement.mp3,sound_effect,system,1.8,"Achievement unlock sound, celebratory and special","Create a celebratory, special sound for unlocking an achievement. Use traditional Chinese instruments to create a sequence that builds to a satisfying conclusion. The sound should convey that something noteworthy has been accomplished."
confirm.mp3,sound_effect,system,0.5,"Confirmation sound, positive and decisive","Create a positive, decisive sound for confirming an action. Use a short sequence of 1-2 notes on traditional Chinese instruments that sounds affirmative. The sound should clearly indicate 'yes' or 'confirmed'."
panda_happy.mp3,sound_effect,panda,1,"Happy panda sound, cute and cheerful","Create a cute, cheerful sound representing a happy panda. The sound should be gentle and positive, possibly with a playful quality. It should convey contentment and joy without being too cartoonish."
panda_sad.mp3,sound_effect,panda,1,"Sad panda sound, gentle disappointment","Create a gentle sound representing a disappointed or sad panda. The sound should convey mild sadness without being too negative or dramatic. It should elicit empathy without being distressing."
panda_eat.mp3,sound_effect,panda,0.8,"Panda eating sound, gentle munching","Create a gentle munching or eating sound appropriate for a panda enjoying bamboo. The sound should be cute and satisfying, conveying contentment while eating."
panda_play.mp3,sound_effect,panda,1.2,"Panda playing sound, playful and energetic","Create a playful, energetic sound representing a panda at play. The sound should convey happiness and activity, suitable for a panda enjoying itself."
panda_train.mp3,sound_effect,panda,1,"Panda training sound, determined effort","Create a sound representing a panda in training or making an effort. The sound should convey determination and exertion without being strenuous. It should suggest focused activity."
panda_talk.mp3,sound_effect,panda,0.7,"Panda vocalization sound, cute and communicative","Create a cute, communicative sound representing a panda vocalizing. The sound should be gentle and endearing, suggesting the panda is trying to communicate with the user."
water_splash.mp3,sound_effect,environment,0.8,"Water splash sound, refreshing and natural","Create a refreshing, natural water splash sound. The sound should be clean and pleasant, suitable for watering plants or other water-related activities in the game."
camera_shutter.mp3,sound_effect,environment,0.3,"Camera shutter sound, quick and distinctive","Create a quick, distinctive camera shutter sound with a traditional feel. The sound should clearly indicate that a photo has been taken but with a slightly softer quality than modern digital cameras."
lullaby.mp3,sound_effect,environment,3,"Gentle lullaby snippet, calming and soothing","Create a brief, calming lullaby snippet using traditional Chinese instruments like the guzheng or erhu. The sound should be soothing and peaceful, suitable for relaxation moments in the game."
morning_bell.mp3,sound_effect,environment,1.5,"Morning bell sound, peaceful awakening","Create a peaceful morning bell sound using traditional Chinese temple bells. The sound should convey the start of a new day with a serene, meditative quality."
bamboo_collect.mp3,sound_effect,bamboo,0.7,"Bamboo collection sound, satisfying harvest","Create a satisfying bamboo harvesting or collection sound. Use the sound of bamboo stalks being cut or gathered with a natural, organic quality. The sound should be rewarding and indicate successful collection."
water.mp3,sound_effect,bamboo,1,"Watering plants sound, refreshing and nurturing","Create a refreshing sound of water being poured on plants. The sound should have a nurturing quality and convey care being given to growing things."
fertilize.mp3,sound_effect,bamboo,0.8,"Fertilizing plants sound, enriching and productive","Create a sound representing fertilizer being applied to plants. The sound should suggest enrichment and care, with a productive quality that indicates plants will grow better."
bamboo_forest.mp3,background_music,environment,180,"Bamboo forest ambient music, peaceful with rustling leaves","Create peaceful ambient music that evokes a bamboo forest. Include gentle rustling of bamboo leaves, occasional bird calls, and subtle traditional Chinese instruments like the guzheng or bamboo flute playing a minimal, meditative melody. The music should be calming and suitable for long periods of listening without becoming repetitive or distracting."
meditation_ambient.mp3,background_music,environment,240,"Meditation ambient music, deeply calming with subtle tones","Create deeply calming meditation music with traditional Chinese influences. Include very subtle tones from singing bowls, occasional gentle chimes, and minimal notes from traditional instruments. The music should support deep focus and relaxation, with long periods of gentle ambient sounds interspersed with minimal melodic elements."
morning_nature.mp3,background_music,environment,180,"Morning nature ambient music, fresh and awakening","Create fresh, awakening music that evokes a beautiful morning in nature. Include gentle bird songs, subtle flowing water sounds, and light, uplifting melodies on traditional Chinese instruments. The music should convey the peaceful energy of dawn and early morning, with a sense of new beginnings."
evening_calm.mp3,background_music,environment,180,"Evening calm ambient music, peaceful winding down","Create peaceful music that evokes the calm of evening. Include subtle cricket or night insect sounds, occasional gentle wind through bamboo, and soothing, winding-down melodies on traditional Chinese instruments like the guzheng or erhu. The music should help transition to a restful state."
traditional_guzheng.mp3,background_music,traditional,210,"Traditional guzheng solo music, elegant and timeless","Create elegant, timeless music centered on traditional Chinese guzheng solo playing. The music should feature the beautiful plucked string sound of the guzheng with a clear melody that evokes traditional Chinese musical aesthetics. Include some passages of faster notes and some of contemplative, slower playing."
traditional_flute.mp3,background_music,traditional,180,"Traditional bamboo flute music, serene and flowing","Create serene, flowing music centered on traditional Chinese bamboo flute (dizi). The music should showcase the expressive, breathy quality of the bamboo flute with melodies that evoke traditional Chinese musical aesthetics. Include some bird-like flourishes and long, sustained notes that convey peaceful natural settings."
traditional_ensemble.mp3,background_music,traditional,240,"Traditional Chinese ensemble music, harmonious and rich","Create harmonious, rich music featuring a traditional Chinese ensemble. Include guzheng, erhu, bamboo flute, and percussion in a balanced arrangement. The music should have sections of both activity and tranquility, showcasing the beautiful interplay between different traditional instruments."
spring_theme.mp3,background_music,seasonal,180,"Spring theme music, light and rejuvenating","Create light, rejuvenating music that evokes spring in a Chinese setting. Include bright, optimistic melodies on traditional instruments, with a sense of renewal and growth. The music should convey the energy of spring with flourishing phrases and occasional bird-like motifs."
summer_theme.mp3,background_music,seasonal,180,"Summer theme music, warm and vibrant","Create warm, vibrant music that evokes summer in a Chinese setting. Include energetic yet not hurried melodies on traditional instruments, with a sense of fullness and abundance. The music should convey the richness of summer with flowing water sounds and full-bodied instrumental passages."
autumn_theme.mp3,background_music,seasonal,180,"Autumn theme music, reflective and golden","Create reflective, golden-toned music that evokes autumn in a Chinese setting. Include slightly melancholic yet beautiful melodies on traditional instruments, with a sense of maturity and contemplation. The music should convey the transitional nature of autumn with occasional wind sounds and falling leaf motifs."
winter_theme.mp3,background_music,seasonal,180,"Winter theme music, serene and minimal","Create serene, minimal music that evokes winter in a Chinese setting. Include sparse, delicate melodies on traditional instruments, with a sense of stillness and clarity. The music should convey the quiet beauty of winter with occasional bell-like tones and gentle, snow-like passages."
