ButtonArea,LoginContainer,Node,,,按钮区域,0,-100,500,200,0.5,0.5,255,true,1,1,0,vertical,0,30,,,,,,,,,,,,,,,,,"N/A"
LoginButton,ButtonArea,Button,Button,login_btn.png,登录按钮,0,0,400,70,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,LoginButton,,,,,,,"A luxurious traditional Chinese style button with jade green gradient and decorative cloud pattern elements. The button has soft rounded corners with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
LoginLabel,LoginButton,Label,,,登录文本,0,0,400,70,0.5,0.5,255,true,1,1,0,,,,28,#FFFFFF,center,none,32,,,,,,,,,,,"A horizontal ink stroke suggesting a short text label, centered within the button area. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
RegisterButton,ButtonArea,Button,Button,register_btn.png,注册按钮,0,-100,400,70,0.5,0.5,255,true,1,1,0,,,,,,,,,,,color,1.1,RegisterButton,,,,,,,"A luxurious traditional Chinese style button with vermilion red gradient and decorative pattern elements. The button has soft rounded corners with elegant brush stroke borders. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
RegisterLabel,RegisterButton,Label,,,注册文本,0,0,400,70,0.5,0.5,255,true,1,1,0,,,,28,#FFFFFF,center,none,32,,,,,,,,,,,"A horizontal ink stroke suggesting a short text label, centered within the button area. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
ThirdPartyArea,LoginContainer,Node,,,第三方登录区域,0,-300,500,100,0.5,0.5,255,true,1,1,0,horizontal,0,40,,,,,,,,,,,,,,,,,"N/A"
ThirdPartyTitle,ThirdPartyArea,Label,,,第三方登录标题,0,40,300,40,0.5,0.5,200,true,1,1,0,,,,20,#666666,center,none,24,,,,,,,,,,,"A subtle horizontal line suggesting a short title text, with decorative elements on both sides resembling traditional Chinese dividers. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
AppleLogin,ThirdPartyArea,Button,Button,apple_login.png,苹果登录,-100,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,scale,1.1,AppleLogin,,,,,,,"A circular button with Apple logo in Chinese ink painting style. The icon has a subtle rice paper texture background with ink wash border. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
GoogleLogin,ThirdPartyArea,Button,Button,google_login.png,谷歌登录,0,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,scale,1.1,GoogleLogin,,,,,,,"A circular button with Google logo in Chinese ink painting style. The icon has a subtle rice paper texture background with ink wash border. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
FacebookLogin,ThirdPartyArea,Button,Button,facebook_login.png,脸书登录,100,0,60,60,0.5,0.5,255,true,1,1,0,,,,,,,,,,,scale,1.1,FacebookLogin,,,,,,,"A circular button with Facebook logo in Chinese ink painting style. The icon has a subtle rice paper texture background with ink wash border. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
LinksArea,LoginContainer,Node,,,链接区域,0,-400,500,50,0.5,0.5,200,true,1,1,0,horizontal,0,100,,,,,,,,,,,,,,,,,"N/A"
ForgotPassword,LinksArea,Button,Button,,忘记密码,-100,0,150,40,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.05,ForgotPassword,,,,,,,"N/A"
ForgotPasswordLabel,ForgotPassword,Label,,,忘记密码文本,0,0,150,40,0.5,0.5,255,true,1,1,0,,,,18,#1A5F4A,center,none,22,,,,,,,,,,,"A subtle horizontal ink stroke suggesting a short link text, with a very light underline effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
PrivacyPolicy,LinksArea,Button,Button,,隐私政策,100,0,150,40,0.5,0.5,200,true,1,1,0,,,,,,,,,,,color,1.05,PrivacyPolicy,,,,,,,"N/A"
PrivacyPolicyLabel,PrivacyPolicy,Label,,,隐私政策文本,0,0,150,40,0.5,0.5,255,true,1,1,0,,,,18,#1A5F4A,center,none,22,,,,,,,,,,,"A subtle horizontal ink stroke suggesting a short link text, with a very light underline effect. Adhering to luxurious Chinese game style. Transparent background. PNG. Strictly no legible text, words, letters, or numbers."
